Course_Title,Platform,Provider,URL,Price,Is_Paid,Difficulty,Category,Duration_Hours,Num_Reviews,Num_Subscribers
Ultimate Investment Banking Course,Udemy,Udemy,https://www.udemy.com/ultimate-investment-banking-course/,200,True,All Levels,Business Finance,1.5,23,2147
Complete GST Course & Certification - Grow Your CA Practice,Udemy,Udemy,https://www.udemy.com/goods-and-services-tax/,75,True,All Levels,Business Finance,39.0,923,2792
Financial Modeling for Business Analysts and Consultants,Udemy,Udemy,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,45,True,Intermediate,Business Finance,2.5,74,2174
Beginner to Pro - Financial Analysis in Excel 2017,Udemy,Udemy,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,95,True,All Levels,Business Finance,3.0,11,2451
How To Maximize Your Profits Trading Options,Udemy,Udemy,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,200,True,Intermediate,Business Finance,2.0,45,1276
Trading Penny Stocks: A Guide for All Levels In 2017,Udemy,Udemy,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,150,True,All Levels,Business Finance,3.0,138,9221
Investing And Trading For Beginners: Mastering Price Charts,Udemy,Udemy,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,65,True,Beginner,Business Finance,1.0,178,1540
"Trading Stock Chart Patterns For Immediate, Explosive Gains",Udemy,Udemy,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,95,True,All Levels,Business Finance,2.5,148,2917
Options Trading 3 : Advanced Stock Profit and Success Method,Udemy,Udemy,https://www.udemy.com/day-trading-stock-options-3/,195,True,Expert,Business Finance,2.5,34,5172
The Only Investment Strategy You Need For Your Retirement,Udemy,Udemy,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,200,True,All Levels,Business Finance,1.0,14,827
Forex Trading Secrets of the Pros With Amazon's AWS,Udemy,Udemy,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,200,True,All Levels,Business Finance,5.0,93,4284
Trading Options With Money Flow,Udemy,Udemy,https://www.udemy.com/trading-options-using-money-flow/,200,True,All Levels,Business Finance,1.0,42,1380
Financial Management Risk and Return For Securities,Udemy,Udemy,https://www.udemy.com/risk-and-return-finance/,30,True,All Levels,Business Finance,1.5,21,3607
Forex Trading Course: Work Smarter Not Harder Proven Results,Udemy,Udemy,https://www.udemy.com/the-complete-trading-course/,195,True,All Levels,Business Finance,2.0,52,4061
Python Algo Trading: Sentiment Trading with News,Udemy,Udemy,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,200,True,All Levels,Business Finance,7.0,19,294
Short Selling: Learn To Sell Stocks Before The Fall,Udemy,Udemy,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,75,True,Intermediate,Business Finance,1.5,106,2276
Basic Technical Analysis: Learn the structure of the market,Udemy,Udemy,https://www.udemy.com/learn-basic-technical-analysis/,20,True,Beginner,Business Finance,1.5,79,4919
The Complete Chart Pattern Trading Course: A Proven Approach,Udemy,Udemy,https://www.udemy.com/make-money-trading-stocks-from-home/,200,True,All Levels,Business Finance,4.0,115,2666
7 Deadly Mistakes of Investing that Will Slash Your Profits!,Udemy,Udemy,https://www.udemy.com/7-deadly-mistakes-of-investing/,50,True,All Levels,Business Finance,1.5,24,5354
Financial Statements Made Easy,Udemy,Udemy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,95,True,Beginner,Business Finance,0.5833333333333334,249,8095
Winning Forex Trading with Live Forex Trading Examples,Udemy,Udemy,https://www.udemy.com/forexmacross/,200,True,All Levels,Business Finance,2.0,3,809
Forex Traders - Create Your First Trading Robot. No Coding!,Udemy,Udemy,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,200,True,All Levels,Business Finance,4.0,84,2295
Create A Business From Home Trading Stocks Today In 2017,Udemy,Udemy,https://www.udemy.com/work-from-home-buying-penny-stocks/,75,True,All Levels,Business Finance,2.0,83,10149
Introduction to Accounting : Mastering Financial Statements,Udemy,Udemy,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,50,True,Beginner,Business Finance,1.0,38,1916
The Complete Ethereum Course: Get .01 Ether In Your Wallet,Udemy,Udemy,https://www.udemy.com/ethereum/,45,True,All Levels,Business Finance,2.0,333,2507
Beginner to Pro in PowerPoint: Complete PowerPoint Training,Udemy,Udemy,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,150,True,All Levels,Business Finance,5.0,518,5786
Investing 101: The Complete Online Investing Course,Udemy,Udemy,https://www.udemy.com/online-investing-guide/,200,True,All Levels,Business Finance,4.5,373,5334
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Udemy,Udemy,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,175,True,Intermediate,Business Finance,2.0,237,4005
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Udemy,Udemy,https://www.udemy.com/learn-mql5/,150,True,All Levels,Business Finance,4.5,103,2877
Forex Trading: Your Complete Guide to Get Started Like a Pro,Udemy,Udemy,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,140,True,Beginner,Business Finance,3.0,25,1026
Python Algo Stock Trading: Automate Your Trading!,Udemy,Udemy,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,95,True,Beginner,Business Finance,2.5,21,1165
THE Forex Robot: Incredible ROI (Robot Included),Udemy,Udemy,https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,200,True,All Levels,Business Finance,1.5,171,1843
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Udemy,Udemy,https://www.udemy.com/bitcoin-for-beginners/,45,True,All Levels,Business Finance,6.5,449,8797
Mastering High Probability Iron Condor Options Trading,Udemy,Udemy,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,200,True,All Levels,Business Finance,2.0,11,1030
The Complete Short Course on Ethereum,Udemy,Udemy,https://www.udemy.com/ethereum1/,200,True,All Levels,Business Finance,1.5,12,1041
Options Trading Stocks: Proven Toolbox For Financial Success,Udemy,Udemy,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,195,True,Intermediate,Business Finance,10.0,118,7884
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Udemy,Udemy,https://www.udemy.com/forex-trading/,195,True,Beginner,Business Finance,5.5,2476,16900
"Introduction to Finance, Accounting, Modeling and Valuation",Udemy,Udemy,https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,200,True,All Levels,Business Finance,4.5,1118,11441
Beginner to Pro in Excel: Financial Modeling and Valuation,Udemy,Udemy,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,195,True,All Levels,Business Finance,7.5,2697,22257
The Complete Investment Banking Course 2017,Udemy,Udemy,https://www.udemy.com/the-complete-investment-banking-course-2016/,195,True,All Levels,Business Finance,5.5,809,8575
The Complete Financial Analyst Course 2017,Udemy,Udemy,https://www.udemy.com/the-complete-financial-analyst-course/,195,True,All Levels,Business Finance,10.0,2347,24481
Python for Finance: Investment Fundamentals & Data Analytics,Udemy,Udemy,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,195,True,All Levels,Business Finance,6.5,278,3811
Financial Modeling for Startups & Small Businesses,Udemy,Udemy,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,195,True,Beginner,Business Finance,11.5,137,4991
Options Trading - How to Win with Weekly Options,Udemy,Udemy,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,115,True,Intermediate,Business Finance,1.0,1190,7489
Black Algo Trading: Build Your Trading Robot,Udemy,Udemy,https://www.udemy.com/build-your-trading-robot/,200,True,All Levels,Business Finance,16.0,1113,20195
Accounting & Financial Statement Analysis: Complete Training,Udemy,Udemy,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,150,True,All Levels,Business Finance,3.0,594,10042
Cryptocurrency Trading: Complete Guide To Trading Altcoins,Udemy,Udemy,https://www.udemy.com/cryptocurrency-trading/,95,True,All Levels,Business Finance,5.0,42,367
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,Udemy,Udemy,https://www.udemy.com/backtesting/,200,True,All Levels,Business Finance,5.5,872,10603
Three Steps Trading - Live Trading - Real Account,Udemy,Udemy,https://www.udemy.com/three-steps-trading-live-trading-real-account/,190,True,All Levels,Business Finance,5.0,11,1197
Option Trading for Rookies:  Understand Options Completely,Udemy,Udemy,https://www.udemy.com/complete-course-introduction-to-option-trading/,150,True,All Levels,Business Finance,2.0,65,2893
How I Learned Stock Trading (and How You Can Too),Udemy,Udemy,https://www.udemy.com/best-stock-traders/,200,True,Expert,Business Finance,2.0,12,1580
Learn to Trade for Profit: Find and Trade Winning Stocks,Udemy,Udemy,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,95,True,All Levels,Business Finance,3.0,71,10605
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Udemy,Udemy,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,125,True,Intermediate,Business Finance,2.0,200,2996
Four Fundamentals of Financial Planning,Udemy,Udemy,https://www.udemy.com/four-fundamentals-of-financial-planning/,30,True,All Levels,Business Finance,1.0,23,6219
Options Trading - Calendar Spread Course for Every Trader,Udemy,Udemy,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,200,True,All Levels,Business Finance,1.5,11,1113
Dividend Investing: Build Your Portfolio for a Better Future,Udemy,Udemy,https://www.udemy.com/dividend-investing/,60,True,Beginner,Business Finance,4.0,83,8314
